Player ID,Game Version,Age,Overall,Potential,Postion,International Reputation,Weak Foot,Skill Moves,Attack Rate,Defence Rate
158023,FIFA21,33,93,93,ST,5,4,4,Medium, Low
158023,FIFA22,34,93,93,RW,5,4,4,Medium, Low
20801,FIFA21,35,92,92,LS,5,4,5,High, Low
188545,FIFA22,32,92,92,ST,5,4,4,High, Medium
192985,FIFA21,29,91,91,RCM,4,5,4,High, High
188545,FIFA21,31,91,91,ST,4,4,4,High, Medium
190871,FIFA21,28,91,91,LW,5,5,5,High, Medium
200389,FIFA21,27,91,93,GK,3,3,1,Medium, Medium
192985,FIFA22,30,91,91,RCM,4,5,4,High, High
20801,FIFA22,36,91,91,ST,5,4,5,High, Low
190871,FIFA22,29,91,91,LW,5,5,5,High, Medium
231747,FIFA22,22,91,95,ST,4,4,5,High, Low
200389,FIFA22,28,91,93,GK,5,3,1,Medium, Medium
192985,FIFA23,31,91,91,RCM,4,5,4,High, High
188545,FIFA23,33,91,91,ST,5,4,4,High, Medium
158023,FIFA23,35,91,91,RW,5,4,4,Low, Low
231747,FIFA23,23,91,95,ST,4,4,5,High, Low
165153,FIFA23,34,91,91,CF,4,4,4,Medium, Medium
209331,FIFA21,28,90,90,RW,3,3,4,High, Medium
208722,FIFA21,28,90,90,LW,3,4,4,High, Medium
231747,FIFA21,21,90,95,LS,3,4,5,High, Low
203376,FIFA21,28,90,91,LCB,3,3,2,Medium, Medium
192448,FIFA21,28,90,93,GK,3,4,1,Medium, Medium
212831,FIFA21,27,90,91,GK,3,3,1,Medium, Medium
202126,FIFA22,27,90,90,ST,4,5,3,High, High
215914,FIFA22,30,90,90,RCM,4,3,2,Medium, High
167495,FIFA22,35,90,90,GK,5,4,1,Medium, Medium
192448,FIFA22,29,90,92,GK,4,4,1,Medium, Medium
209331,FIFA23,30,90,90,RW,4,3,4,High, Medium
20801,FIFA23,37,90,90,ST,5,4,5,High, Low
203376,FIFA23,30,90,90,LCB,4,3,2,Medium, High
167495,FIFA23,36,90,90,GK,5,4,1,Medium, Medium
192119,FIFA23,30,90,91,GK,4,3,1,Medium, Medium
155862,FIFA21,34,89,89,LCB,4,3,3,High, Medium
200145,FIFA21,28,89,89,CDM,3,3,2,High, High
153079,FIFA21,32,89,89,SUB,4,4,4,High, Medium
165153,FIFA21,32,89,89,CF,4,4,4,Medium, Low
167495,FIFA21,34,89,89,GK,5,4,1,Medium, Medium
192119,FIFA21,28,89,90,GK,4,3,1,Medium, Medium
212622,FIFA22,26,89,90,RDM,4,4,3,High, Medium
200145,FIFA22,29,89,89,CDM,3,3,2,High, High
209331,FIFA22,29,89,89,RW,4,3,4,High, Medium
208722,FIFA22,29,89,89,LW,4,4,4,High, Medium
200104,FIFA22,28,89,89,LW,4,5,4,High, High
165153,FIFA22,33,89,89,CF,4,4,4,Medium, Medium
203376,FIFA22,29,89,89,LCB,4,3,2,Medium, Medium
210257,FIFA22,27,89,91,GK,3,3,1,Medium, Medium
212831,FIFA22,28,89,90,GK,3,3,1,Medium, Medium
230621,FIFA22,22,89,93,GK,3,3,1,Medium, Medium
192119,FIFA22,29,89,91,GK,4,3,1,Medium, Medium
212622,FIFA23,27,89,90,RDM,4,4,3,High, Medium
200145,FIFA23,30,89,89,CDM,3,3,2,Medium, High
202126,FIFA23,28,89,89,ST,4,5,3,High, High
208722,FIFA23,30,89,89,ST,4,4,4,High, Medium
190871,FIFA23,30,89,89,LW,5,5,5,High, Medium
215914,FIFA23,31,89,89,RCM,4,3,2,Medium, High
200104,FIFA23,29,89,89,LW,4,5,4,High, Medium
210257,FIFA23,28,89,91,GK,3,3,1,Medium, Medium
212831,FIFA23,29,89,90,GK,3,3,1,Medium, Medium
200389,FIFA23,29,89,91,GK,5,3,1,Medium, Medium
212622,FIFA21,25,88,90,RDM,3,4,3,High, Medium
202126,FIFA21,26,88,89,ST,3,4,3,High, High
215914,FIFA21,29,88,88,RDM,3,3,2,Medium, High
211110,FIFA21,26,88,89,RS,3,3,4,Medium, Medium
182521,FIFA21,30,88,88,LCM,4,5,3,Medium, Medium
202652,FIFA21,25,88,90,LW,3,3,4,High, Medium
183277,FIFA21,29,88,88,LW,4,4,4,High, Medium
201024,FIFA21,29,88,88,LCB,3,3,2,Medium, High
210257,FIFA21,26,88,91,GK,2,3,1,Medium, Medium
162835,FIFA21,35,88,88,GK,3,3,1,Medium, Medium
212198,FIFA22,26,88,89,CAM,3,3,4,High, High
176580,FIFA22,34,88,88,RS,5,4,3,High, Medium
155862,FIFA22,35,88,88,LCB,4,3,3,High, Medium
182521,FIFA22,31,88,88,LCM,4,5,3,Medium, Medium
202652,FIFA22,26,88,89,SUB,4,3,4,High, Medium
239085,FIFA22,20,88,93,RS,4,3,3,High, High
192505,FIFA22,28,88,88,ST,4,4,3,Medium, Medium
193041,FIFA22,34,88,88,SUB,3,3,1,Medium, Medium
210514,FIFA23,28,88,88,LB,3,4,4,High, Medium
177003,FIFA23,36,88,88,RCM,4,4,4,Medium, Medium
218667,FIFA23,27,88,88,LCM,2,3,4,High, High
182521,FIFA23,32,88,88,LCM,4,5,3,Medium, Medium
239085,FIFA23,21,88,94,ST,4,3,3,High, Medium
