Game Version,Player ID,Club,Value In (M),Wage In (K),Joined,Contract Valid Until,Release Clause (M)
FIFA21,158023,FC Barcelona,67.5,560,01/07/2004 00:00,2021,138.4
FIFA22,158023,Paris Saint-Germain,78,320,10/08/2021 00:00,2023,144.3
FIFA21,20801,Juventus,46,220,10/07/2018 00:00,2022,75.9
FIFA22,188545,FC Bayern München,119.5,270,01/07/2014 00:00,2023,197.2
FIFA21,192985,Manchester City,87,370,30/08/2015 00:00,2023,161
FIFA21,188545,FC Bayern München,80,240,01/07/2014 00:00,2023,132
FIFA21,190871,Paris Saint-Germain,90,270,03/08/2017 00:00,2022,166.5
FIFA21,200389,Atlético Madrid,75,125,16/07/2014 00:00,2023,159.4
FIFA22,192985,Manchester City,125.5,350,30/08/2015 00:00,2025,232.2
FIFA22,20801,Manchester United,45,270,27/08/2021 00:00,2023,83.3
FIFA22,190871,Paris Saint-Germain,129,270,03/08/2017 00:00,2025,238.7
FIFA22,231747,Paris Saint-Germain,194,230,01/07/2018 00:00,2022,373.5
FIFA22,200389,Atlético de Madrid,112,130,16/07/2014 00:00,2023,238
FIFA23,192985,Manchester City,107.5,350,30/08/2015 00:00,2025,198.9
FIFA23,188545,FC Barcelona,84,420,18/07/2022 00:00,2025,172.2
FIFA23,158023,Paris Saint-Germain,54,195,10/08/2021 00:00,2023,99.9
FIFA23,231747,Paris Saint-Germain,190.5,230,01/07/2018 00:00,2025,366.7
FIFA23,165153,Real Madrid CF,64,450,09/07/2009 00:00,2023,131.2
FIFA21,209331,Liverpool,78,250,01/07/2017 00:00,2023,144.3
FIFA21,208722,Liverpool,78,250,01/07/2016 00:00,2023,144.3
FIFA21,231747,Paris Saint-Germain,105.5,160,01/07/2018 00:00,2022,203.1
FIFA21,203376,Liverpool,75.5,210,01/01/2018 00:00,2023,145.3
FIFA21,192448,FC Barcelona,69.5,260,01/07/2014 00:00,2022,147.7
FIFA21,212831,Liverpool,62.5,160,19/07/2018 00:00,2024,120.3
FIFA22,202126,Tottenham Hotspur,129.5,240,28/07/2010 00:00,2024,246.1
FIFA22,215914,Chelsea,100,230,16/07/2016 00:00,2023,185
FIFA22,167495,FC Bayern München,13.5,86,01/07/2011 00:00,2023,22.3
FIFA22,192448,FC Barcelona,99,250,01/07/2014 00:00,2025,210.4
FIFA23,209331,Liverpool,115.5,270,01/07/2017 00:00,2023,213.7
FIFA23,20801,Manchester United,41,220,27/08/2021 00:00,2023,77.9
FIFA23,203376,Liverpool,98,230,01/01/2018 00:00,2025,181.3
FIFA23,167495,FC Bayern München,13.5,72,01/07/2011 00:00,2024,22.3
FIFA23,192119,Real Madrid CF,90,250,09/08/2018 00:00,2026,191.3
FIFA21,155862,Real Madrid,24.5,300,01/08/2005 00:00,2021,50.2
FIFA21,200145,Real Madrid,59.5,310,11/07/2013 00:00,2023,122
FIFA21,153079,Manchester City,53,300,28/07/2011 00:00,2021,98.1
FIFA21,165153,Real Madrid,53,350,09/07/2009 00:00,2022,108.7
FIFA21,167495,FC Bayern München,29,125,01/07/2011 00:00,2023,47.9
FIFA21,192119,Real Madrid,56,250,09/08/2018 00:00,2024,119
FIFA22,212622,FC Bayern München,108,160,01/07/2015 00:00,2025,186.3
FIFA22,200145,Real Madrid CF,88,310,11/07/2013 00:00,2025,180.4
FIFA22,209331,Liverpool,101,270,01/07/2017 00:00,2023,186.9
FIFA22,208722,Liverpool,101,270,01/07/2016 00:00,2023,186.9
FIFA22,200104,Tottenham Hotspur,104,220,28/08/2015 00:00,2025,197.6
FIFA22,165153,Real Madrid CF,66,350,09/07/2009 00:00,2023,135.3
FIFA22,203376,Liverpool,86,230,01/01/2018 00:00,2025,159.1
FIFA22,210257,Manchester City,94,200,01/07/2017 00:00,2026,181
FIFA22,212831,Liverpool,82,190,19/07/2018 00:00,2027,157.9
FIFA22,230621,Paris Saint-Germain,119.5,110,15/07/2021 00:00,2026,230
FIFA22,192119,Real Madrid CF,85.5,250,09/08/2018 00:00,2026,181.7
FIFA23,212622,FC Bayern München,105.5,130,01/07/2015 00:00,2025,182
FIFA23,200145,Real Madrid CF,86,300,11/07/2013 00:00,2025,176.3
FIFA23,202126,Tottenham Hotspur,105.5,240,28/07/2010 00:00,2024,200.5
FIFA23,208722,FC Bayern München,99.5,145,01/07/2022 00:00,2025,164.2
FIFA23,190871,Paris Saint-Germain,99.5,200,03/08/2017 00:00,2025,184.1
FIFA23,215914,Chelsea,72,220,16/07/2016 00:00,2023,133.2
FIFA23,200104,Tottenham Hotspur,101,240,28/08/2015 00:00,2025,191.9
FIFA23,210257,Manchester City,88,210,01/07/2017 00:00,2026,169.4
FIFA23,212831,Liverpool,79,190,19/07/2018 00:00,2027,152.1
FIFA23,200389,Atlético de Madrid,85.5,100,16/07/2014 00:00,2023,181.7
FIFA21,212622,FC Bayern München,65,145,01/07/2015 00:00,2023,112.1
FIFA21,202126,Tottenham Hotspur,71,220,01/07/2010 00:00,2024,140.2
FIFA21,215914,Chelsea,51,190,16/07/2016 00:00,2023,96.9
FIFA21,211110,Juventus,71,190,01/07/2015 00:00,2022,122.5
FIFA21,182521,Real Madrid,55,310,17/07/2014 00:00,2023,112.8
FIFA21,202652,Manchester City,72.5,270,14/07/2015 00:00,2023,139.6
FIFA21,183277,Real Madrid,58,350,01/07/2019 00:00,2024,118.9
FIFA21,201024,Napoli,50,140,01/07/2014 00:00,2023,85
FIFA21,210257,Manchester City,53.5,195,01/07/2017 00:00,2024,103
FIFA21,162835,Inter,16,100,01/07/2012 00:00,2021,26.4
FIFA22,212198,Manchester United,107.5,250,30/01/2020 00:00,2025,206.9
FIFA22,176580,Atlético de Madrid,44.5,135,25/09/2020 00:00,2022,91.2
FIFA22,155862,Paris Saint-Germain,24,115,08/07/2021 00:00,2023,44.4
FIFA22,182521,Real Madrid CF,75,310,17/07/2014 00:00,2023,153.8
FIFA22,202652,Manchester City,107.5,290,14/07/2015 00:00,2023,206.9
FIFA22,239085,Borussia Dortmund,137.5,110,01/01/2020 00:00,2024,244.1
FIFA22,192505,Chelsea,93.5,260,12/08/2021 00:00,2026,173
FIFA22,193041,Paris Saint-Germain,15.5,130,02/09/2019 00:00,2024,28.7
FIFA23,210514,Manchester City,82.5,250,07/08/2019 00:00,2027,152.6
FIFA23,177003,Real Madrid CF,29,230,01/08/2012 00:00,2023,59.5
FIFA23,218667,Manchester City,97.5,260,01/07/2017 00:00,2025,180.4
FIFA23,182521,Real Madrid CF,72,310,17/07/2014 00:00,2023,147.6
FIFA23,239085,Manchester City,148,220,01/07/2022 00:00,2027,303.4
FIFA23,207865,Paris Saint-Germain,92,170,19/07/2013 00:00,2024,177.1
FIFA23,239818,Manchester City,107.5,230,29/09/2020 00:00,2027,206.9
FIFA23,192448,FC Barcelona,68.5,210,01/07/2014 00:00,2025,145.6
