Game Version,Player ID,Name,Age,Nationality,Overall,Potential,Club,Value In (M),Wage In (K),Preferred Foot,International Reputation,Weak Foot,Skill Moves,Real Face,Joined,Contract Valid Until,Release Clause (M),Postion,Height (cm),Weigth (Kg),Attack Rate,Defence Rate
FIFA21,158023,L. Messi,33,Argentina,93,93,FC Barcelona,67.5,560,Left,5,4,4,Yes,01/07/2004 00:00,2021,138.4,ST,170,72,Medium, Low
FIFA22,158023,L. Messi,34,Argentina,93,93,Paris Saint-Germain,78,320,Left,5,4,4,Yes,10/08/2021 00:00,2023,144.3,RW,170,75,Medium, Low
FIFA21,20801,Cristiano Ronaldo,35,Portugal,92,92,Juventus,46,220,Right,5,4,5,Yes,10/07/2018 00:00,2022,75.9,LS,188,83,High, Low
FIFA22,188545,R. Lewandowski,32,Poland,92,92,FC Bayern München,119.5,270,Right,5,4,4,Yes,01/07/2014 00:00,2023,197.2,ST,185,75,High, Medium
FIFA21,192985,K. De Bruyne,29,Belgium,91,91,Manchester City,87,370,Right,4,5,4,Yes,30/08/2015 00:00,2023,161,RCM,180,70,High, High
FIFA21,188545,R. Lewandowski,31,Poland,91,91,FC Bayern München,80,240,Right,4,4,4,Yes,01/07/2014 00:00,2023,132,ST,183,80,High, Medium
FIFA21,190871,Neymar Jr,28,Brazil,91,91,Paris Saint-Germain,90,270,Right,5,5,5,Yes,03/08/2017 00:00,2022,166.5,LW,175,68,High, Medium
FIFA21,200389,J. Oblak,27,Slovenia,91,93,Atlético Madrid,75,125,Right,3,3,1,Yes,16/07/2014 00:00,2023,159.4,GK,188,87,Medium, Medium
FIFA22,192985,K. De Bruyne,30,Belgium,91,91,Manchester City,125.5,350,Right,4,5,4,Yes,30/08/2015 00:00,2025,232.2,RCM,181,75,High, High
FIFA22,20801,Cristiano Ronaldo,36,Portugal,91,91,Manchester United,45,270,Right,5,4,5,Yes,27/08/2021 00:00,2023,83.3,ST,187,75,High, Low
FIFA22,190871,Neymar Jr,29,Brazil,91,91,Paris Saint-Germain,129,270,Right,5,5,5,Yes,03/08/2017 00:00,2025,238.7,LW,175,75,High, Medium
FIFA22,231747,K. Mbappé,22,France,91,95,Paris Saint-Germain,194,230,Right,4,4,5,Yes,01/07/2018 00:00,2022,373.5,ST,182,75,High, Low
FIFA22,200389,J. Oblak,28,Slovenia,91,93,Atlético de Madrid,112,130,Right,5,3,1,Yes,16/07/2014 00:00,2023,238,GK,188,75,Medium, Medium
FIFA23,192985,K. De Bruyne,31,Belgium,91,91,Manchester City,107.5,350,Right,4,5,4,Yes,30/08/2015 00:00,2025,198.9,RCM,181,75,High, High
FIFA23,188545,R. Lewandowski,33,Poland,91,91,FC Barcelona,84,420,Right,5,4,4,Yes,18/07/2022 00:00,2025,172.2,ST,185,75,High, Medium
FIFA23,158023,L. Messi,35,Argentina,91,91,Paris Saint-Germain,54,195,Left,5,4,4,Yes,10/08/2021 00:00,2023,99.9,RW,169,75,Low, Low
FIFA23,231747,K. Mbappé,23,France,91,95,Paris Saint-Germain,190.5,230,Right,4,4,5,Yes,01/07/2018 00:00,2025,366.7,ST,182,75,High, Low
FIFA23,165153,K. Benzema,34,France,91,91,Real Madrid CF,64,450,Right,4,4,4,Yes,09/07/2009 00:00,2023,131.2,CF,185,75,Medium, Medium
FIFA21,209331,M. Salah,28,Egypt,90,90,Liverpool,78,250,Left,3,3,4,Yes,01/07/2017 00:00,2023,144.3,RW,175,71,High, Medium
FIFA21,208722,S. Mané,28,Senegal,90,90,Liverpool,78,250,Right,3,4,4,Yes,01/07/2016 00:00,2023,144.3,LW,175,69,High, Medium
FIFA21,231747,K. Mbappé,21,France,90,95,Paris Saint-Germain,105.5,160,Right,3,4,5,Yes,01/07/2018 00:00,2022,203.1,LS,178,73,High, Low
FIFA21,203376,V. van Dijk,28,Netherlands,90,91,Liverpool,75.5,210,Right,3,3,2,Yes,01/01/2018 00:00,2023,145.3,LCB,193,92,Medium, Medium
FIFA21,192448,M. ter Stegen,28,Germany,90,93,FC Barcelona,69.5,260,Right,3,4,1,Yes,01/07/2014 00:00,2022,147.7,GK,188,85,Medium, Medium
FIFA21,212831,Alisson,27,Brazil,90,91,Liverpool,62.5,160,Right,3,3,1,Yes,19/07/2018 00:00,2024,120.3,GK,190,91,Medium, Medium
FIFA22,202126,H. Kane,27,England,90,90,Tottenham Hotspur,129.5,240,Right,4,5,3,Yes,28/07/2010 00:00,2024,246.1,ST,188,75,High, High
FIFA22,215914,N. Kanté,30,France,90,90,Chelsea,100,230,Right,4,3,2,Yes,16/07/2016 00:00,2023,185,RCM,168,75,Medium, High
FIFA22,167495,M. Neuer,35,Germany,90,90,FC Bayern München,13.5,86,Right,5,4,1,Yes,01/07/2011 00:00,2023,22.3,GK,193,75,Medium, Medium
FIFA22,192448,M. ter Stegen,29,Germany,90,92,FC Barcelona,99,250,Right,4,4,1,Yes,01/07/2014 00:00,2025,210.4,GK,187,75,Medium, Medium
FIFA23,209331,M. Salah,30,Egypt,90,90,Liverpool,115.5,270,Left,4,3,4,Yes,01/07/2017 00:00,2023,213.7,RW,175,75,High, Medium
FIFA23,20801,Cristiano Ronaldo,37,Portugal,90,90,Manchester United,41,220,Right,5,4,5,Yes,27/08/2021 00:00,2023,77.9,ST,187,75,High, Low
FIFA23,203376,V. van Dijk,30,Netherlands,90,90,Liverpool,98,230,Right,4,3,2,Yes,01/01/2018 00:00,2025,181.3,LCB,193,75,Medium, High
FIFA23,167495,M. Neuer,36,Germany,90,90,FC Bayern München,13.5,72,Right,5,4,1,Yes,01/07/2011 00:00,2024,22.3,GK,193,75,Medium, Medium
FIFA23,192119,T. Courtois,30,Belgium,90,91,Real Madrid CF,90,250,Left,4,3,1,Yes,09/08/2018 00:00,2026,191.3,GK,199,75,Medium, Medium
FIFA21,155862,Sergio Ramos,34,Spain,89,89,Real Madrid,24.5,300,Right,4,3,3,Yes,01/08/2005 00:00,2021,50.2,LCB,183,82,High, Medium
FIFA21,200145,Casemiro,28,Brazil,89,89,Real Madrid,59.5,310,Right,3,3,2,Yes,11/07/2013 00:00,2023,122,CDM,185,84,High, High
FIFA21,153079,S. Agüero,32,Argentina,89,89,Manchester City,53,300,Right,4,4,4,Yes,28/07/2011 00:00,2021,98.1,SUB,173,70,High, Medium
FIFA21,165153,K. Benzema,32,France,89,89,Real Madrid,53,350,Right,4,4,4,Yes,09/07/2009 00:00,2022,108.7,CF,185,81,Medium, Low
FIFA21,167495,M. Neuer,34,Germany,89,89,FC Bayern München,29,125,Right,5,4,1,Yes,01/07/2011 00:00,2023,47.9,GK,193,92,Medium, Medium
FIFA21,192119,T. Courtois,28,Belgium,89,90,Real Madrid,56,250,Left,4,3,1,Yes,09/08/2018 00:00,2024,119,GK,198,96,Medium, Medium
FIFA22,212622,J. Kimmich,26,Germany,89,90,FC Bayern München,108,160,Right,4,4,3,Yes,01/07/2015 00:00,2025,186.3,RDM,177,75,High, Medium
FIFA22,200145,Casemiro,29,Brazil,89,89,Real Madrid CF,88,310,Right,3,3,2,Yes,11/07/2013 00:00,2025,180.4,CDM,185,75,High, High
FIFA22,209331,M. Salah,29,Egypt,89,89,Liverpool,101,270,Left,4,3,4,Yes,01/07/2017 00:00,2023,186.9,RW,175,75,High, Medium
FIFA22,208722,S. Mané,29,Senegal,89,89,Liverpool,101,270,Right,4,4,4,Yes,01/07/2016 00:00,2023,186.9,LW,175,75,High, Medium
FIFA22,200104,H. Son,28,Korea Republic,89,89,Tottenham Hotspur,104,220,Right,4,5,4,Yes,28/08/2015 00:00,2025,197.6,LW,183,75,High, High
FIFA22,165153,K. Benzema,33,France,89,89,Real Madrid CF,66,350,Right,4,4,4,Yes,09/07/2009 00:00,2023,135.3,CF,185,75,Medium, Medium
FIFA22,203376,V. van Dijk,29,Netherlands,89,89,Liverpool,86,230,Right,4,3,2,Yes,01/01/2018 00:00,2025,159.1,LCB,193,75,Medium, Medium
FIFA22,210257,Ederson,27,Brazil,89,91,Manchester City,94,200,Left,3,3,1,Yes,01/07/2017 00:00,2026,181,GK,188,75,Medium, Medium
FIFA22,212831,Alisson,28,Brazil,89,90,Liverpool,82,190,Right,3,3,1,Yes,19/07/2018 00:00,2027,157.9,GK,191,75,Medium, Medium
FIFA22,230621,G. Donnarumma,22,Italy,89,93,Paris Saint-Germain,119.5,110,Right,3,3,1,Yes,15/07/2021 00:00,2026,230,GK,196,75,Medium, Medium
FIFA22,192119,T. Courtois,29,Belgium,89,91,Real Madrid CF,85.5,250,Left,4,3,1,Yes,09/08/2018 00:00,2026,181.7,GK,199,75,Medium, Medium
FIFA23,212622,J. Kimmich,27,Germany,89,90,FC Bayern München,105.5,130,Right,4,4,3,Yes,01/07/2015 00:00,2025,182,RDM,177,75,High, Medium
FIFA23,200145,Casemiro,30,Brazil,89,89,Real Madrid CF,86,300,Right,3,3,2,Yes,11/07/2013 00:00,2025,176.3,CDM,185,75,Medium, High
FIFA23,202126,H. Kane,28,England,89,89,Tottenham Hotspur,105.5,240,Right,4,5,3,Yes,28/07/2010 00:00,2024,200.5,ST,188,75,High, High
FIFA23,208722,S. Mané,30,Senegal,89,89,FC Bayern München,99.5,145,Right,4,4,4,Yes,01/07/2022 00:00,2025,164.2,ST,174,75,High, Medium
FIFA23,190871,Neymar Jr,30,Brazil,89,89,Paris Saint-Germain,99.5,200,Right,5,5,5,Yes,03/08/2017 00:00,2025,184.1,LW,175,75,High, Medium
FIFA23,215914,N. Kanté,31,France,89,89,Chelsea,72,220,Right,4,3,2,Yes,16/07/2016 00:00,2023,133.2,RCM,168,75,Medium, High
FIFA23,200104,H. Son,29,Korea Republic,89,89,Tottenham Hotspur,101,240,Right,4,5,4,Yes,28/08/2015 00:00,2025,191.9,LW,183,75,High, Medium
FIFA23,210257,Ederson,28,Brazil,89,91,Manchester City,88,210,Left,3,3,1,Yes,01/07/2017 00:00,2026,169.4,GK,188,75,Medium, Medium
FIFA23,212831,Alisson,29,Brazil,89,90,Liverpool,79,190,Right,3,3,1,Yes,19/07/2018 00:00,2027,152.1,GK,191,75,Medium, Medium
FIFA23,200389,J. Oblak,29,Slovenia,89,91,Atlético de Madrid,85.5,100,Right,5,3,1,Yes,16/07/2014 00:00,2023,181.7,GK,188,75,Medium, Medium
FIFA21,212622,J. Kimmich,25,Germany,88,90,FC Bayern München,65,145,Right,3,4,3,Yes,01/07/2015 00:00,2023,112.1,RDM,175,73,High, Medium
FIFA21,202126,H. Kane,26,England,88,89,Tottenham Hotspur,71,220,Right,3,4,3,Yes,01/07/2010 00:00,2024,140.2,ST,188,89,High, High
FIFA21,215914,N. Kanté,29,France,88,88,Chelsea,51,190,Right,3,3,2,Yes,16/07/2016 00:00,2023,96.9,RDM,168,70,Medium, High
FIFA21,211110,P. Dybala,26,Argentina,88,89,Juventus,71,190,Left,3,3,4,Yes,01/07/2015 00:00,2022,122.5,RS,178,75,Medium, Medium
FIFA21,182521,T. Kroos,30,Germany,88,88,Real Madrid,55,310,Right,4,5,3,Yes,17/07/2014 00:00,2023,112.8,LCM,183,76,Medium, Medium
FIFA21,202652,R. Sterling,25,England,88,90,Manchester City,72.5,270,Right,3,3,4,Yes,14/07/2015 00:00,2023,139.6,LW,170,69,High, Medium
FIFA21,183277,E. Hazard,29,Belgium,88,88,Real Madrid,58,350,Right,4,4,4,Yes,01/07/2019 00:00,2024,118.9,LW,175,74,High, Medium
FIFA21,201024,K. Koulibaly,29,Senegal,88,88,Napoli,50,140,Right,3,3,2,Yes,01/07/2014 00:00,2023,85,LCB,188,89,Medium, High
FIFA21,210257,Ederson,26,Brazil,88,91,Manchester City,53.5,195,Left,2,3,1,Yes,01/07/2017 00:00,2024,103,GK,188,86,Medium, Medium
FIFA21,162835,S. Handanovič,35,Slovenia,88,88,Inter,16,100,Right,3,3,1,Yes,01/07/2012 00:00,2021,26.4,GK,193,92,Medium, Medium
FIFA22,212198,Bruno Fernandes,26,Portugal,88,89,Manchester United,107.5,250,Right,3,3,4,Yes,30/01/2020 00:00,2025,206.9,CAM,179,75,High, High
